ticker
AAPL
MSFT
AMZN
NVDA
GOOGL
GOOG
META
UNH
TSLA
XOM
JNJ
JPM
V
PG
LLY
MA
MRK
HD
CVX
PEP
AVGO
KO
COST
MCD
WMT
PFE
TMO
CRM
CSCO
BAC
ABT
LIN
ACN
DIS
CMCSA
ADBE
AMD
VZ
NEE
TXN
NFLX
ORCL
NKE
DHR
WFC
PM
BMY
RTX
HON
AMGN
INTC
UPS
COP
SBUX
UNP
LOW
T
INTU
SPGI
MDT
QCOM
PLD
BA
IBM
GE
CAT
GS
MS
ELV
ISRG
MDLZ
LMT
BKNG
AMAT
DE
GILD
SYK
BLK
NOW
ADI
TJX
AMT
MMC
VRTX
AXP
C
ADP
CVS
TMUS
CB
MO
REGN
SO
SCHW
PGR
CI
BSX
FISV
LRCX
DUK
TGT
BDX
MU
AON
EQIX
CL
ETN
CSX
CME
HUM
EOG
ITW
SLB
NOC
WM
APD
ICE
ORLY
HCA
SNPS
CMG
KLAC
ATVI
CDNS
MMM
EW
MCK
SHW
GIS
FDX
FCX
AZO
MPC
CCI
PXD
ROP
MCO
MSI
DG
KMB
NSC
EMR
GD
SRE
MAR
EL
PSA
AEP
AJG
DXCM
PNC
F
D
MNST
GM
APH
BIIB
FTNT
PSX
VLO
NXPI
ECL
JCI
ADSK
OXY
TRV
PH
TDG
ADM
USB
MCHP
TT
IDXX
CTAS
EXC
HSY
AIG
TEL
O
YUM
A
WELL
PCAR
SYY
NEM
HES
STZ
XEL
MSCI
CNC
TFC
AFL
CHTR
ROST
LHX
NUE
ON
WMB
SPG
CPRT
PAYX
ED
DHI
COF
RMD
AME
VRSK
MET
DLTR
KMI
FIS
PPG
EA
ILMN
CTSH
KR
AMP
ROK
ALL
PEG
DVN
FAST
CMI
CSGP
MTD
RSG
GWW
DD
BK
PRU
WEC
LEN
ZBH
AWK
WBD
DLR
ABC
BKR
ACGL
ODFL
EIX
PCG
KDP
GPN
ES
HAL
ULTA
WST
ANSS
VMC
DFS
OKE
TSCO
HPQ
SBAC
APTV
EFX
MLM
PWR
AVB
IT
WTW
EBAY
TROW
ALB
GPC
GLW
STT
FANG
CHD
CBRE
URI
ENPH
LYB
MKC
WBA
PODD
HIG
WY
CAH
AEE
FSLR
DTE
DAL
BAX
ALGN
IFF
ETR
EQR
VRSN
FE
STE
CLX
PPL
HOLX
EXR
CTRA
TTWO
LH
LVS
DOV
MTB
TDY
COO
ARE
FICO
VTR
XYL
OMC
NDAQ
CNP
DRI
MPWR
BR
K
EXPD
WAB
NVR
CMS
BALL
MAA
CAG
LUV
MOH
FLT
ATO
RJF
SJM
FITB
RCL
CINF
TYL
WAT
STLD
IRM
GRMN
TRGP
SWKS
PFG
IEX
AMCR
BRO
PHM
FDS
RF
RE
NTRS
UAL
TER
DGX
AES
J
CBOE
PKI
JBHT
LKQ
BBY
MRO
EVRG
AVY
TSN
NTAP
IPG
ZBRA
PTC
BG
FMC
AXON
SNA
EXPE
ESS
HBAN
MGM
AKAM
LNT
EPAM
TXT
POOL
CF
EQT
TECH
UDR
MOS
INCY
PKG
HST
CPT
WRB
TAP
STX
TRMB
CHRW
MAS
WDC
TFX
NDSN
SWK
KMX
PEAK
IP
HRL
KIM
VTRS
LYV
L
NI
WYNN
MKTX
DPZ
CPB
APA
LDOS
HSIC
BWA
CE
TPR
CCL
CRL
ROL
GL
PNR
EMN
GEN
JNPR
AAL
REG
MTCH
PNW
KEY
UHS
XRAY
AOS
FFIV
BIO
PARA
HAS
NRG
HII
BBWI
RHI
AAP
VFC
WHR
BEN
AIZ
IVZ
BXP
FRT
SEE
DVA
ALK
DXC
MHK
RL
CMA
ZION
NWL
LNC
DISH
