Symbol
AAPL
MSFT
AMZN
NVDA
GOOGL
GOOG
BRK.B
META
UNH
TSLA
XOM
JNJ
JPM
V
PG
LLY
MA
MRK
HD
CVX
PEP
AVGO
ABBV
KO
COST
MCD
WMT
PFE
TMO
CRM
CSCO
BAC
ABT
LIN
ACN
DIS
CMCSA
ADBE
AMD
VZ
NEE
TXN
NFLX
ORCL
NKE
DHR
WFC
PM
BMY
RTX
HON
AMGN
INTC
UPS
COP
SBUX
UNP
LOW
T
INTU
SPGI
MDT
QCOM
PLD
BA
IBM
GE
CAT
GS
MS
ELV
ISRG
MDLZ
LMT
BKNG
AMAT
DE
GILD
SYK
BLK
NOW
ADI
TJX
AMT
MMC
VRTX
AXP
C
ADP
CVS
TMUS
ZTS
CB
MO
REGN
SO
SCHW
PGR
CI
BSX
FISV
LRCX
DUK
TGT
BDX
MU
PYPL
AON
EQIX
CL
ETN
CSX
CME
HUM
EOG
ITW
SLB
NOC
WM
APD
ICE
ORLY
HCA
SNPS
CMG
KLAC
ATVI
CDNS
MMM
EW
MCK
SHW
GIS
FDX
FCX
AZO
MPC
CCI
PXD
ROP
MCO
MSI
DG
KMB
NSC
EMR
GD
SRE
MAR
EL
PSA
AEP
AJG
DXCM
PNC
F
D
MNST
GM
APH
BIIB
FTNT
PSX
VLO
NXPI
ECL
MRNA
JCI
ADSK
OXY
TRV
PH
TDG
ADM
CTVA
USB
MCHP
TT
IDXX
CTAS
EXC
HSY
AIG
TEL
O
YUM
HLT
A
WELL
PCAR
SYY
NEM
HES
STZ
XEL
MSCI
CNC
TFC
AFL
DOW
CHTR
ROST
CARR
LHX
NUE
IQV
ON
OTIS
WMB
SPG
CPRT
PAYX
ED
DHI
ANET
COF
RMD
AME
VRSK
MET
DLTR
KMI
FIS
PPG
EA
ILMN
CTSH
VICI
KR
KHC
AMP
ROK
ALL
PEG
DVN
FAST
CMI
CSGP
MTD
RSG
GWW
DD
BK
PRU
WEC
LEN
ZBH
AWK
WBD
DLR
ABC
BKR
ACGL
ODFL
EIX
PCG
KDP
GEHC
GPN
ES
KEYS
HAL
ULTA
WST
CEG
ANSS
VMC
DFS
OKE
TSCO
HPQ
SBAC
APTV
EFX
MLM
PWR
AVB
IT
WTW
EBAY
IR
TROW
ALB
GPC
GLW
STT
FANG
CHD
CBRE
URI
CDW
FTV
ENPH
LYB
MKC
WBA
PODD
HIG
WY
CAH
AEE
FSLR
DTE
DAL
BAX
ALGN
IFF
ETR
EQR
VRSN
FE
STE
CLX
PPL
HOLX
EXR
CTRA
TTWO
LH
INVH
LVS
DOV
MTB
TDY
COO
ARE
FICO
VTR
XYL
OMC
NDAQ
CNP
DRI
MPWR
HPE
BR
K
EXPD
WAB
NVR
CMS
BALL
MAA
CAG
LUV
SEDG
MOH
FLT
ATO
RJF
SJM
FITB
RCL
CINF
TYL
HWM
WAT
LW
STLD
IRM
GRMN
TRGP
SWKS
PFG
IEX
AMCR
BRO
PHM
FDS
RF
RE
NTRS
UAL
TER
DGX
AES
J
CBOE
PKI
JBHT
LKQ
BBY
MRO
EVRG
AVY
TSN
NTAP
IPG
ZBRA
PTC
BG
FMC
AXON
SNA
EXPE
ESS
HBAN
MGM
AKAM
LNT
EPAM
TXT
POOL
PAYC
CF
EQT
TECH
CFG
UDR
MOS
INCY
ETSY
SYF
PKG
HST
CPT
WRB
TAP
STX
TRMB
CHRW
MAS
WDC
TFX
NDSN
SWK
BF.B
KMX
PEAK
IP
HRL
KIM
VTRS
LYV
L
NI
JKHY
WYNN
MKTX
DPZ
CPB
APA
LDOS
HSIC
BWA
CE
TPR
CCL
CRL
ROL
GL
ALLE
PNR
EMN
QRVO
FOXA
GEN
CZR
JNPR
AAL
REG
CDAY
MTCH
PNW
KEY
UHS
XRAY
AOS
FFIV
BIO
PARA
HAS
NRG
HII
BBWI
RHI
AAP
NWSA
GNRC
VFC
WHR
WRK
BEN
AIZ
IVZ
BXP
FRT
SEE
CTLT
NCLH
DVA
ALK
DXC
OGN
MHK
RL
CMA
FOX
ZION
NWL
LNC
NWS
DISH
